OBJECTID,AMP_CODE,AMPHOE_T,AMPHOE_E,PROV_CODE,PROV_T,PROV_E,FormalRegi,F4Region,TMDRegion,MetroRegio,Units,UnitsTH,lat,lon
1,"1001",พระนคร,Phra Nakhon,"10",กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.7553252857,100.4978688011
2,"1002",ดุสิต,Dusit,"10",กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.7800056704,100.5179819276
3,"1003",หนองจอก,Nong Chok,"10",กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.8523410488,100.8571899401
4,"1004",บางรัก,Bang Rak,"10",กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.7268390647,100.5241851822
5,"1005",บางเขน,Bang Khen,"10",กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.8667506203,100.6303183125
6,"1006",บางกะปิ,Bang Kapi,"10",กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.7692416773,100.6400664544
7,"1007",ปทุมวัน,Pathum Wan,"10",กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.7394548609,100.5354558382
8,"1008",ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,"10",กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.7508970206,100.5111504159
9,"1009",พระโขนง,Phra Khanong,"10",กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.6921166513,100.6141057180
10,"1010",มีนบุรี,Min Buri,"10",กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.8088350416,100.7541667309
