OBJECTID,PROV_CODE,PROV_NAM_T,PROV_NAM_E,ProvinceID,ProvinceTH,ProvinceEN,FormalRegi,F4Region,MetroRegio,Units,lat,lon
1,"10",กรุงเทพมหานคร,Bangkok,"10",กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,13.7713526892,100.6225515988
2,"11",จ.สมุทรปราการ,Changwat Samut Prakan,"11",สมุทรปราการ,Samut Prakan,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,RG01,13.5968955622,100.7090869362
3,"12",จ.นนทบุรี,Changwat Nonthaburi,"12",นนทบุรี,Nonthaburi,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,RG01,13.9244517241,100.3924383938
4,"13",จ.ปทุมธานี,Changwat Pathum Thani,"13",ปทุมธานี,Pathum Thani,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,RG01,14.0649383931,100.6818142757
5,"14",จ.พระนครศรีอยุธยา,Changwat Phra Nakhon Si Ayutthaya,"14",พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,ภาคกลาง,ภาคกลาง,ต่างจังหวัด,RG02,14.3450265964,100.5270038861
6,"15",จ.อ่างทอง,Changwat Ang Thong,"15",อ่างทอง,Ang Thong,ภาคกลาง,ภาคกลาง,ต่างจังหวัด,RG02,14.6240509449,100.3480855541
7,"16",จ.ลพบุรี,Changwat Lopburi,"16",ลพบุรี,Lop Buri,ภาคกลาง,ภาคกลาง,ต่างจังหวัด,RG16,15.1093655816,100.9076285784
8,"17",จ.สิงห์บุรี,Changwat Singburi,"17",สิงห์บุรี,Sing Buri,ภาคกลาง,ภาคกลาง,ต่างจังหวัด,RG16,14.9123492706,100.3471880813
9,"18",จ.ชัยนาท,Changwat Chainat,"18",ชัยนาท,Chai Nat,ภาคกลาง,ภาคกลาง,ต่างจังหวัด,RG16,15.1327056540,100.0278669864
10,"19",จ.สระบุรี,Changwat Saraburi,"19",สระบุรี,Saraburi,ภาคกลาง,ภาคกลาง,ต่างจังหวัด,RG03,14.6282114667,101.0173522071
