TambonID,TambonTH,TambonEN,AmphoeID,AmphoeTH,AmphoeEN,ProvinceID,ProvinceTH,ProvinceEN,FormalRegi,F4Region,TMDRegion,MetroRegio,Units,UnitsTH,lat,lon
104902,ทุ่งครุ,Thung Khru,1049,ทุ่งครุ,Thung Khru,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.6183772450,100.4968014701
104901,บางมด,Bang Mot,1049,ทุ่งครุ,Thung Khru,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.6497111725,100.4947169838
102401,ราษฎร์บูรณะ,Rat Burana,1024,ราษฎร์บูรณะ,Rat Burana,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.6702182675,100.5093764375
101204,บางโพงพาง,Bang Phongphang,1012,ยานนาวา,Yan Nawa,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.6825651562,100.5318690171
101203,ช่องนนทรี,Chong Nonsi,1012,ยานนาวา,Yan Nawa,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.6969037216,100.5437752246
103301,คลองเตย,Khlong Toei,1033,คลองเตย,Khlong Toei,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.7187741340,100.5640840213
103303,พระโขนง,Phra Khanong,1033,คลองเตย,Khlong Toei,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.7093180256,100.5875569115
100905,บางจาก,Bang Chak,1009,พระโขนง,Phra Khanong,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.6921166513,100.6141057180
104701,บางนา,Bang Na,1047,บางนา,Bang Na,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.6708871590,100.6183665982
103202,หนองบอน,Nong Bon,1032,ประเวศ,Prawet,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.6873941318,100.6556285326
103203,ดอกไม้,Dok Mai,1032,ประเวศ,Prawet,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.6819460176,100.6893232429
103201,ประเวศ,Prawet,1032,ประเวศ,Prawet,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.7171198189,100.6798496142
101101,ลาดกระบัง,Lat Krabang,1011,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.7230914297,100.7506793772
101105,ทับยาว,Thap Yao,1011,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.7350277214,100.8214282361
101106,ขุมทอง,Khum Thong,1011,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.7273902879,100.8534138265
100308,ลำต้อยติ่ง,Lam Toiting,1003,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.7765094875,100.8784054452
100301,กระทุ่มราย,Krathum Rai,1003,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.8258112352,100.8915329530
100302,หนองจอก,Nong Chok,1003,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.8719857033,100.8722011662
100304,คลองสิบสอง,Khlong Sip Song,1003,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.9159892300,100.8795049350
100303,คลองสิบ,Khlong Sip,1003,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.9122372051,100.8226335439
104602,สามวาตะวันออก,Sam Wa Tawan Ok,1046,คลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.8960224222,100.7602889176
104601,สามวาตะวันตก,Sam Wa Tawan Tok,1046,คลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.8893380919,100.7079118653
104201,สายไหม,Sai Mai,1042,สายไหม,Sai Mai,10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,HQ,กรมป้องกันและบรรเทาสาธารณภัย,13.9206553595,100.6537411343
