pcode,pname,acode,aname,ddpm_region,drought_risk_level,flood_risk_level,windstorm_risk_level,latitude,longitude
11,สมุทรปราการ,1101,เมืองสมุทรปราการ,1,0,0,0,13.57005719,100.652727
11,สมุทรปราการ,1102,บางบ่อ,1,0,0,0,13.58447894,100.8644025
11,สมุทรปราการ,1103,บางพลี,1,0,0,0,13.62832532,100.7269535
11,สมุทรปราการ,1104,พระประแดง,1,0,0,0,13.65707717,100.5536002
11,สมุทรปราการ,1105,พระสมุทรเจดีย์,1,0,0,0,13.55723677,100.5149659
11,สมุทรปราการ,1106,บางเสาธง,1,0,0,0,13.63652409,100.8095519
12,นนทบุรี,1201,เมืองนนทบุรี,1,0,0.25,0,13.85731527,100.4911353
12,นนทบุรี,1202,บางกรวย,1,0,0.5,0,13.81312635,100.4222538
12,นนทบุรี,1203,บางใหญ่,1,0,0.5,0,13.85607107,100.3699979
12,นนทบุรี,1204,บางบัวทอง,1,0,0.5,0.5,13.93046784,100.3944724
12,นนทบุรี,1205,ไทรน้อย,1,0,0.5,0,14.00682794,100.3091471
12,นนทบุรี,1206,ปากเกร็ด,1,0,0,0,13.92539732,100.495233
13,ปทุมธานี,1301,เมืองปทุมธานี,1,0,0.5,0,13.99298437,100.5352848
13,ปทุมธานี,1302,คลองหลวง,1,0,0.25,0,14.0942316,100.6768137
13,ปทุมธานี,1303,ธัญบุรี,1,0,0.5,0,14.02984825,100.7613612
13,ปทุมธานี,1304,หนองเสือ,1,0.5,0,0,14.16148081,100.8380414
13,ปทุมธานี,1305,ลาดหลุมแก้ว,1,0,0.25,0,14.04852254,100.406819
13,ปทุมธานี,1306,ลำลูกกา,1,0,0.5,0,13.97798912,100.7903918
13,ปทุมธานี,1307,สามโคก,1,0,0.5,0,14.08237014,100.5229581
14,พระนครศรีอยุธยา,1401,พระนครศรีอยุธยา,2,0,0.5,0,14.35195611,100.5600009
14,พระนครศรีอยุธยา,1402,ท่าเรือ,2,0,0.5,0,14.53834012,100.7075713
14,พระนครศรีอยุธยา,1403,นครหลวง,2,0.5,0.25,0,14.46818216,100.6254094
14,พระนครศรีอยุธยา,1404,บางไทร,2,0,0.5,0,14.2141782,100.484549
14,พระนครศรีอยุธยา,1405,บางบาล,2,0,0.75,0,14.38566684,100.4657987
14,พระนครศรีอยุธยา,1406,บางปะอิน,2,0,0.5,0,14.23774891,100.5944638
14,พระนครศรีอยุธยา,1407,บางปะหัน,2,0,0.5,0,14.47409762,100.5464265
14,พระนครศรีอยุธยา,1408,ผักไห่,2,0,0.25,0,14.45245142,100.3413653
14,พระนครศรีอยุธยา,1409,ภาชี,2,0,0,0,14.43911721,100.7258303
14,พระนครศรีอยุธยา,1410,ลาดบัวหลวง,2,0.5,0.25,0,14.16883317,100.3513824
14,พระนครศรีอยุธยา,1411,วังน้อย,2,0,0.5,0,14.24531697,100.7241261
14,พระนครศรีอยุธยา,1412,เสนา,2,0,0.75,0,14.29515095,100.3758611
14,พระนครศรีอยุธยา,1413,บางซ้าย,2,0.5,0.5,0,14.31326951,100.2954333
14,พระนครศรีอยุธยา,1414,อุทัย,2,0,0.5,0,14.3563723,100.6960957
14,พระนครศรีอยุธยา,1415,มหาราช,2,0,0.25,0,14.57403162,100.536756
14,พระนครศรีอยุธยา,1416,บ้านแพรก,2,0,0.25,0.75,14.64421927,100.5473355
15,อ่างทอง,1501,เมืองอ่างทอง,2,0,0.5,0.75,14.57874909,100.4430505
15,อ่างทอง,1502,ไชโย,2,0,0.25,0.75,14.67296421,100.4648574
15,อ่างทอง,1503,ป่าโมก,2,0,0.5,0.75,14.4895156,100.4526082
15,อ่างทอง,1504,โพธิ์ทอง,2,0,0.25,0.75,14.67746945,100.3441315
