pcode,pname,acode,aname,tcode,tname,ddpm_region,drought_risk_level,flood_risk_level,windstorm_risk_level,risk_level_all,latitude,longitude
11,สมุทรปราการ,1101,เมืองสมุทรปราการ,110101,ปากน้ำ,1,0,0,0,"[0, 0, 0]",13.5943161,100.5973294
11,สมุทรปราการ,1101,เมืองสมุทรปราการ,110102,สำโรงเหนือ,1,0,0,0,"[0, 0, 0]",13.64639641,100.6170758
11,สมุทรปราการ,1101,เมืองสมุทรปราการ,110103,บางเมือง,1,0,0,0,"[0, 0, 0]",13.60782263,100.6218949
11,สมุทรปราการ,1101,เมืองสมุทรปราการ,110104,ท้ายบ้าน,1,0,0,0,"[0, 0, 0]",13.55776523,100.5972195
11,สมุทรปราการ,1101,เมืองสมุทรปราการ,110108,บางปูใหม่,1,0,0,0,"[0, 0, 0]",13.52650783,100.6657726
11,สมุทรปราการ,1101,เมืองสมุทรปราการ,110110,แพรกษา,1,0,0.5,0,"[0, 0.5, 0]",13.56654281,100.6498208
11,สมุทรปราการ,1101,เมืองสมุทรปราการ,110111,บางโปรง,1,0.5,0.25,0.5,"[0.5, 0.25, 0.5]",13.62239556,100.5651295
11,สมุทรปราการ,1101,เมืองสมุทรปราการ,110113,บางด้วน,1,0,0,0,"[0, 0, 0]",13.62031854,100.5800337
11,สมุทรปราการ,1101,เมืองสมุทรปราการ,110114,บางเมืองใหม่,1,0,0,0,"[0, 0, 0]",13.62358158,100.6026797
11,สมุทรปราการ,1101,เมืองสมุทรปราการ,110115,เทพารักษ์,1,0,0,0,"[0, 0, 0]",13.62560006,100.6285237
11,สมุทรปราการ,1101,เมืองสมุทรปราการ,110116,ท้ายบ้านใหม่,1,0,0,0,"[0, 0, 0]",13.57175185,100.617639
11,สมุทรปราการ,1101,เมืองสมุทรปราการ,110117,แพรกษาใหม่,1,0,0,0,"[0, 0, 0]",13.57212298,100.6775659
11,สมุทรปราการ,1102,บางบ่อ,110201,บางบ่อ,1,0.75,1,1,"[0.75, 1, 1]",13.61162789,100.8617276
11,สมุทรปราการ,1102,บางบ่อ,110202,บ้านระกาศ,1,0.5,0.25,0.125,"[0.5, 0.25, 0.125]",13.59459815,100.8866531
11,สมุทรปราการ,1102,บางบ่อ,110203,บางพลีน้อย,1,0.25,0.5,0.5,"[0.25, 0.5, 0.5]",13.60390351,100.9092317
11,สมุทรปราการ,1102,บางบ่อ,110204,บางเพรียง,1,0,0.25,0.5,"[0, 0.25, 0.5]",13.54497006,100.8075449
11,สมุทรปราการ,1102,บางบ่อ,110205,คลองด่าน,1,0,0,0.5,"[0, 0, 0.5]",13.51194578,100.8346948
11,สมุทรปราการ,1102,บางบ่อ,110206,คลองสวน,1,0.5,0.5,0,"[0.5, 0.5, 0]",13.65870689,100.9237099
11,สมุทรปราการ,1102,บางบ่อ,110207,เปร็ง,1,0.25,0.5,0,"[0.25, 0.5, 0]",13.67212832,100.8810636
11,สมุทรปราการ,1102,บางบ่อ,110208,คลองนิยมยาตรา,1,0,0,0.25,"[0, 0, 0.25]",13.6238001,100.9361833
11,สมุทรปราการ,1103,บางพลี,110301,บางพลีใหญ่,1,0,0,0,"[0, 0, 0]",13.61564877,100.6984514
11,สมุทรปราการ,1103,บางพลี,110302,บางแก้ว,1,0,0.25,0,"[0, 0.25, 0]",13.64208009,100.6622654
11,สมุทรปราการ,1103,บางพลี,110303,บางปลา,1,0.25,0.25,0,"[0.25, 0.25, 0]",13.55618721,100.7383292
11,สมุทรปราการ,1103,บางพลี,110304,บางโฉลง,1,0,0.25,0.25,"[0, 0.25, 0.25]",13.62489327,100.7553543
11,สมุทรปราการ,1103,บางพลี,110308,ราชาเทวะ,1,0,0,0,"[0, 0, 0]",13.67997085,100.7268598
11,สมุทรปราการ,1103,บางพลี,110309,หนองปรือ,1,0,0,0,"[0, 0, 0]",13.67994796,100.7610598
11,สมุทรปราการ,1104,พระประแดง,110401,ตลาด,1,0,0,0,"[0, 0, 0]",13.65677623,100.5328708
11,สมุทรปราการ,1104,พระประแดง,110402,บางพึ่ง,1,0,0,0,"[0, 0, 0]",13.65738001,100.5228414
11,สมุทรปราการ,1104,พระประแดง,110403,บางจาก,1,0,0,0,"[0, 0, 0]",13.61418376,100.5353733
11,สมุทรปราการ,1104,พระประแดง,110404,บางครุ,1,0,0,0,"[0, 0, 0]",13.6304071,100.5264243
