year,pid,pname,FormalRegi,lat,lon,risk_type,n_occurance
2018,84,สุราษฎร์ธานี,ภาคใต้,9.0525123327,99.090340911,อุทกภัย,5
2018,77,ประจวบคีรีขันธ์,ภาคตะวันตก,11.9470798978,99.6351108431,อุทกภัย,3
2018,52,ลำปาง,ภาคเหนือ,18.3272279936,99.5122851724,อุทกภัย,2
2018,51,ลำพูน,ภาคเหนือ,18.1190237046,98.9546912914,อุทกภัย,2
2018,81,กระบี่,ภาคใต้,8.140298895,99.0075570276,อุทกภัย,2
2018,14,พระนครศรีอยุธยา,ภาคกลาง,14.3450265964,100.5270038861,อุทกภัย,1
2018,92,ตรัง,ภาคใต้,7.5435085894,99.5948476426,อุทกภัย,1
2018,56,พะเยา,ภาคเหนือ,19.2343805222,100.1912668087,อุทกภัย,1
2018,53,อุตรดิตถ์,ภาคเหนือ,17.7508719874,100.5178402987,อุทกภัย,1
2018,82,พังงา,ภาคใต้,8.5627170291,98.4456029964,อุทกภัย,1
2018,80,นครศรีธรรมราช,ภาคใต้,8.3789229908,99.7869064009,อุทกภัย,1
2018,77,ประจวบคีรีขันธ์,ภาคตะวันตก,11.9470798978,99.6351108431,วาตภัย,3
2018,90,สงขลา,ภาคใต้,6.9343665541,100.5454298074,วาตภัย,2
2018,16,ลพบุรี,ภาคกลาง,15.1093655816,100.9076285784,วาตภัย,1
2018,71,กาญจนบุรี,ภาคตะวันตก,14.5842089133,99.0477909647,วาตภัย,1
2018,85,ระนอง,ภาคใต้,9.9702755212,98.698840664,วาตภัย,1
2018,53,อุตรดิตถ์,ภาคเหนือ,17.7508719874,100.5178402987,วาตภัย,1
2018,23,ตราด,ภาคตะวันออก,12.3171198458,102.5207930425,วาตภัย,1
2018,21,ระยอง,ภาคตะวันออก,12.8533264043,101.4283817096,วาตภัย,1
2018,19,สระบุรี,ภาคกลาง,14.6282114667,101.0173522071,วาตภัย,1
2018,18,ชัยนาท,ภาคกลาง,15.132705654,100.0278669864,วาตภัย,1
2018,11,สมุทรปราการ,ภาคกลาง,13.5968955622,100.7090869362,อัคคีภัย,9
2018,10,กรุงเทพมหานคร,ภาคกลาง,13.7713526892,100.6225515988,อัคคีภัย,9
2018,40,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,16.4087457478,102.5785619377,อัคคีภัย,8
2018,19,สระบุรี,ภาคกลาง,14.6282114667,101.0173522071,อัคคีภัย,8
