,name,juristicid,year,accountreceivable,accountpayable,totalnoncurrentliability,totalliability,totalcurrentliability,totalcurrentasset,totalasset,totalexpense,cashandcashequivalent,otherincome,totalrevenue,netprofitloss,pct_accountreceivable,pct_accountpayable,pct_totalnoncurrentliability,pct_totalliability,pct_totalcurrentliability,pct_totalcurrentasset,pct_totalasset,pct_totalexpense,pct_cashandcashequivalent,pct_otherincome,pct_totalrevenue,pct_netprofitloss
1,บมจ.ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน),107535000206,2013-12-31,123046500,400428800,76098740000,130205900000,54107150000,83448510000,422358100000,59385490000,56703740000,11082160000,126276200000,37214380000,,,,,,,,,,,,
2,บมจ.ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน),107535000206,2014-12-31,63613080,564459700,112899200000,158508600000,45609440000,115411600000,493552200000,65573020000,94837250000,7700734000,120666500000,34203590000,-48.30159330009387,40.9638117937571,48.358829594287634,21.736879818810053,-15.70533654054963,38.30276897694158,16.85633589127331,10.419262348428893,67.25043180573273,-30.51233694514427,-4.442404823711832,-8.090394089596554
3,บมจ.ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน),107535000206,2015-12-31,2300248000,12237270000,112737400000,167723400000,54985950000,118792400000,533291100000,68124360000,86354500000,8266291000,94756570000,9222879000,3515.9984707547565,2067.961680878192,-0.14331368158498892,5.81343851374625,20.558266008089543,2.9293415913131726,8.05161034638282,3.8908380306412527,-8.94453392522453,7.344196020794902,-21.472347337496323,-73.03534804387493
4,บมจ.ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน),107535000206,2016-12-31,1819222000,9371848000,99131150000,119372400000,20241200000,261592400000,487055100000,54244180000,43982100000,6654851000,80308410000,17099790000,-20.911919062640205,-23.41553303964038,-12.068976222619998,-28.827820089504506,-63.18841449497554,120.20971038551286,-8.6699365506006,-20.374767557449346,-49.06796982207066,-19.49411168805937,-15.247660399695773,85.40620558938265
5,บริษัท ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน),107535000206,2018-12-31,27179580000,1026657000,68440100000,128586000000,60145940000,104950700000,451550000000,58776720000,14994850000,9077071000,100790000000,26275640000,1394.0221699165907,-89.0453088867852,-30.96004636282339,7.718367059722353,197.14611781910162,-59.880065322998675,-7.2897501740562864,8.355808862812552,-65.90692577207547,36.397809657947256,25.5036676731615,53.660600510298664
6,บริษัท ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน),107535000206,2019-12-31,13120190000,742393300,70342350000,105247300000,34904970000,65643980000,413815000000,67751840000,21583270000,17154950000,117662800000,35275100000,-51.72776768441602,-27.68828342864267,2.7794377857425667,-18.150265192167115,-41.966207527889665,-37.45255629547969,-8.356771121691953,15.269855139926158,43.937885340633606,88.99213193330758,16.74054965770413,34.250202849483394
7,บริษัท ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน),107535000206,2020-12-31,14007770000,9045802000,71490760000,100402400000,28911610000,57480090000,408672300000,59202110000,33619230000,14158890000,95259030000,22999880000,6.764993494758831,1118.4649295730444,1.6326011286230901,-4.603348494450687,-17.170506091252914,-12.436616426974723,-1.242753404299024,-12.61918495497687,55.76522927248744,-17.46469677848085,-19.040656860112115,-34.798540613633975
8,บมจ.บริษัท ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน),107535000206,2021-12-31,20442990000,12009980000,60937570000,109990300000,61062670000,70717630000,476041900000,60819410000,26350300000,9493508000,121383800000,40966340000,45.94036024292232,32.76854832772151,-14.76161394843194,9.54947292096604,111.2046682976147,23.02978300834253,16.484992988269575,2.7318283081464445,-21.621345878534402,-32.95019595462638,27.424980078004157,78.11545103713584
9,บริษัท ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน),107535000206,2022-12-31,28030020000,13336040000,51557730000,116997500000,65439780000,80391790000,516842700000,70370410000,41125440000,11127170000,153009400000,53943880000,37.11311310136141,11.041317304441801,-15.392540267030663,6.370743601935813,7.16822569337372,13.679983336545632,8.570842188471218,15.703868222332318,56.071999180274986,17.208201646851727,26.054218108182468,31.67854389725808
11,บมจ.แลนด์แอนด์เฮ้าส์ จำกัด (มหาชน),107535000249,2013-12-31,28974140,2412312000,23585560000,35336790000,11751230000,39882580000,62903960000,16750940000,827832800,1624518000,23059780000,4958421000,,,,,,,,,,,,
12,บมจ.แลนด์แอนด์เฮ้าส์ จำกัด (มหาชน),107535000249,2014-12-31,1096486000,4044837000,24951750000,39555350000,14603600000,48290760000,74389520000,19028700000,5028260000,2664246000,26861420000,6424481000,3684.3608127799475,67.67470376966162,5.79248489329911,11.93815284297186,24.27294844880068,21.082337200853107,18.258882270686925,13.597804063533147,507.4004315847355,64.00224558915322,16.48602024824175,29.567073872912374
13,บมจ.แลนด์แอนด์เฮ้าส์ จำกัด (มหาชน),107535000249,2015-12-31,962991800,5260622000,31438010000,47207100000,15769090000,56771920000,83450340000,18576540000,7108991000,3224100000,26653080000,6737865000,-12.174729089108293,30.057700718224247,25.995210756760546,19.344412323491,7.980840340737894,17.562697294472063,12.18023721621002,-2.376200160809727,41.380736079677675,21.013600095486673,-0.7756105224519083,4.877966017799729
14,บมจ.แลนด์แอนด์เฮ้าส์ จำกัด (มหาชน),107535000249,2016-12-31,26064910,2759391000,28510470000,47185530000,18675060000,49824620000,83293360000,20898540000,1443056000,3258341000,29999880000,7517290000,-97.29334040019863,-47.546297757185364,-9.312103406036199,-0.04569227933933773,18.428266945017114,-12.237211635611411,-0.18811187587731704,12.499636638469802,-79.70097303541388,1.0620328153593261,12.55689773939823,11.567833430916163
15,บริษัท แลนด์แอนด์เฮ้าส์ จำกัด (มหาชน),107535000249,2018-12-31,55486750,3056649000,31420350000,51962490000,20542150000,56331700000,101945200000,22514060000,5654174000,5610604000,35030080000,10475430000,112.87911602226903,10.772594387674662,10.206355770353849,10.123781591517567,9.997772430182295,13.059969147782757,22.392949449992173,7.730300776992083,291.81944429045024,72.19204497012437,16.76740040293494,39.35114915082429
16,บริษัท แลนด์แอนด์เฮ้าส์ จำกัด (มหาชน),107535000249,2019-12-31,40923740,2863087000,30420380000,49903600000,19483220000,52181750000,102366900000,19286600000,2843300000,6788339000,31055390000,10024910000,-26.245923576349306,-6.332490253215206,-3.182555254795061,-3.9622620086142923,-5.154913190683541,-7.366988747011005,0.4136536099786925,-14.335308691546523,-49.71325608302822,20.99123374239209,-11.346505631731363,-4.300730375745909
17,บริษัท แลนด์แอนด์เฮ้าส์ จำกัด (มหาชน),107535000249,2020-12-31,75528580,2668110000,32632210000,54429110000,21796890000,59748390000,104332700000,19524420000,5654829000,4071563000,28390920000,7144918000,84.55932913267459,-6.8100270791631505,7.270882217776364,9.068504075858264,11.875193114895799,14.500548563434524,1.9203472997619375,1.2330841102112355,98.8826012028277,-40.02121873995981,-8.579734467994127,-28.728357661066283
18,บมจ.บริษัท แลนด์แอนด์เฮ้าส์ จำกัด (มหาชน),107535000249,2021-12-31,231014000,2441472000,30105290000,55437610000,25332320000,55015760000,105384400000,21247930000,8798298000,654194600,29679290000,6936129000,205.86302562553144,-8.494327445270244,-7.7436373448197315,1.8528688049464614,16.2198827447402,-7.92093309961992,1.0080252883324148,8.827458126797104,55.58910799955223,-83.93259296245692,4.537964954992657,-2.9222028860233284
19,บริษัท แลนด์แอนด์เฮ้าส์ จำกัด (มหาชน),107535000249,2022-12-31,277858500,2548613000,32860400000,50175620000,17315230000,52801150000,101754600000,20122360000,2858035000,913174300,30140470000,8312516000,20.277775372921127,4.388377175736613,9.151581001212739,-9.491733139289371,-31.647673801688914,-4.025410173375777,-3.444342805956102,-5.297316020901799,-67.51604685360736,39.5875630890258,1.5538781419636383,19.843734163537043
21,บมจ.อินทัช โฮลดิ้งส์  จำกัด (มหาชน),107535000257,2013-12-31,16223630,97397920,53021810,153363000,100341200,2153904000,14399630000,388895100,507179700,71419500,13962680000,13571230000,,,,,,,,,,,,
