latitude,longitude,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
13.57005719,100.652727,0.0,0.0,3.0,4.5,5.0,7.0,7.0,9.0,10.5,8.0,0.0,0.0,2.0,0.0,1.0,2.0,4.0,4.5,5.0,4.0,13.5,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,8.5,6.0,4.0,13.5,2.0,1.0,0.0,0.0,0.5,0.0,2.0,4.0,5.0,4.0,7.0,7.5,8.0,0.5,0.0,0.0,0.0,1.0,0.0,2.0,4.5,5.0,6.0,6.0,5.0,1.5,0.0,2.0,0.0,0.0,0.0,5.0,7.5,6.0,4.0,7.0,12.0,1.5,0.0,0.0,0.0,1.0,2.0,10.0,6.0,10.0,7.0,7.0,10.0,2.0,0.0,1.0,0.5,4.0,2.0,6.0,5.5,7.0,9.0,11.5,8.0,3.5,0.0,1.0,1.5,1.0,1.0,4.0,7.0,4.0,11.0,10.0,6.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,4.5,7.0,9.0,9.0,12.0,1.5,0.0
13.58447894,100.8644025,0.0,0.0,3.0,4.5,5.0,7.0,7.0,9.0,10.5,8.0,0.0,0.0,2.0,0.0,1.0,2.0,4.0,4.5,5.0,4.0,13.5,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,8.5,6.0,4.0,13.5,2.0,1.0,0.0,0.0,0.5,0.0,2.0,4.0,5.0,4.0,7.0,7.5,8.0,0.5,0.0,0.0,0.0,1.0,0.0,2.0,4.5,5.0,6.0,6.0,5.0,1.5,0.0,2.0,0.0,0.0,0.0,5.0,7.5,6.0,4.0,7.0,12.0,1.5,0.0,0.0,0.0,2.0,3.5,9.0,7.0,10.0,10.0,8.0,8.0,2.5,0.0,2.0,0.5,3.0,4.0,5.0,7.0,9.0,11.0,11.5,7.0,2.5,0.0,0.0,2.0,2.0,2.0,5.0,9.0,6.0,11.0,10.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,9.0,8.0,11.0,10.0,12.0,1.0,0.0
13.62832532,100.7269535,0.0,0.5,2.0,5.0,5.0,7.0,9.0,9.0,12.5,7.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,4.0,6.0,3.0,12.5,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,10.5,6.0,6.0,13.5,3.0,1.0,0.0,0.0,1.0,1.0,3.5,4.0,5.5,5.0,8.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0,0.5,3.0,6.0,4.0,6.0,8.5,3.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,9.0,6.0,8.5,11.0,1.0,0.0,0.0,0.0,3.0,3.0,10.0,5.5,11.0,9.0,8.0,9.0,2.5,0.0,1.0,1.5,4.0,3.5,6.0,6.0,8.0,10.0,12.0,7.0,3.0,0.0,1.0,3.0,2.0,1.0,4.0,7.5,4.0,11.0,11.0,6.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,8.0,7.0,10.0,9.5,12.0,2.0,0.0
13.65707717,100.5536002,0.0,0.0,3.0,3.0,5.0,6.0,5.0,7.0,10.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,6.0,5.0,14.0,2.0,2.5,0.0,0.0,0.0,0.0,1.0,3.0,8.0,6.0,6.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,1.5,3.0,4.0,4.0,7.0,9.0,9.0,0.5,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,5.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,8.0,5.0,7.5,11.0,1.0,0.0,0.0,0.0,2.0,2.5,9.0,6.5,10.0,9.0,7.0,8.0,2.0,0.0,1.0,1.0,4.0,3.5,7.0,7.0,8.0,9.0,11.0,7.0,2.5,0.0,2.0,1.5,1.0,1.5,5.0,7.0,5.0,11.0,10.0,7.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,7.0,7.0,9.0,8.0,12.0,1.0,0.0
13.55723677,100.5149659,0.0,0.5,2.0,5.0,5.0,7.0,9.0,9.0,12.5,7.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,4.0,6.0,3.0,12.5,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,10.5,6.0,6.0,13.5,3.0,1.0,0.0,0.0,1.0,1.0,3.5,4.0,5.5,5.0,8.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0,0.5,3.0,6.0,4.0,6.0,8.5,3.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,9.0,6.0,8.5,11.0,1.0,0.0,1.0,0.0,2.0,3.0,7.0,6.0,9.0,6.0,7.0,9.0,3.0,0.0,1.0,0.5,2.0,2.0,6.0,4.5,7.0,9.0,10.5,8.0,3.0,1.0,0.0,1.5,0.0,1.0,2.0,6.0,3.0,11.0,9.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,5.0,6.0,9.0,7.0,11.0,1.5,0.0
13.63652409,100.8095519,0.0,0.5,2.0,5.0,5.0,7.0,9.0,9.0,12.5,7.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,4.0,6.0,3.0,12.5,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,10.5,6.0,6.0,13.5,3.0,1.0,0.0,0.0,1.0,1.0,3.5,4.0,5.5,5.0,8.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0,0.5,3.0,6.0,4.0,6.0,8.5,3.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,9.0,6.0,8.5,11.0,1.0,0.0,0.0,0.0,3.0,4.0,10.0,7.0,11.0,10.0,8.0,8.0,3.0,0.0,1.0,2.0,4.0,5.0,6.0,7.0,9.0,11.0,10.0,8.0,3.0,1.0,0.0,3.0,2.0,2.0,5.0,8.0,6.0,11.0,10.0,7.0,0.0,0.0,1.0,1.0,1.0,2.5,4.0,8.5,9.0,11.0,10.5,13.0,1.0,0.0
13.85731527,100.4911353,0.0,0.0,3.0,3.0,5.0,6.0,5.0,7.0,10.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,6.0,5.0,14.0,2.0,2.5,0.0,0.0,0.0,0.0,1.0,3.0,8.0,6.0,6.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,1.5,3.0,4.0,4.0,7.0,9.0,9.0,0.5,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,5.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,8.0,5.0,7.5,11.0,1.0,0.0,0.0,0.0,2.0,3.0,9.0,5.5,10.0,8.0,8.0,9.0,2.5,0.0,1.0,1.5,3.0,3.5,6.0,6.5,8.0,8.0,11.5,5.0,2.0,0.0,1.0,1.5,2.0,1.5,5.0,7.0,4.0,9.0,8.5,5.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,10.0,8.5,11.0,1.0,0.0
13.81312635,100.4222538,0.0,0.0,3.0,3.0,5.0,6.0,5.0,7.0,10.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,6.0,5.0,14.0,2.0,2.5,0.0,0.0,0.0,0.0,1.0,3.0,8.0,6.0,6.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,1.5,3.0,4.0,4.0,7.0,9.0,9.0,0.5,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,5.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,8.0,5.0,7.5,11.0,1.0,0.0,0.0,0.0,2.0,2.5,10.0,6.0,8.0,9.0,8.0,7.0,2.0,0.0,1.0,2.0,3.0,3.5,7.0,5.0,7.0,10.0,11.5,8.0,2.5,0.0,1.0,1.5,2.0,1.5,5.0,6.5,4.0,10.0,8.0,7.0,0.5,0.0,1.0,0.0,1.0,2.0,3.0,5.5,7.0,10.0,8.0,12.0,1.5,0.0
13.85607107,100.3699979,0.0,0.0,2.0,4.0,5.0,6.0,6.0,7.0,10.5,8.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,5.0,5.0,13.5,2.0,2.5,0.0,0.0,0.0,0.0,1.0,4.0,6.5,6.0,5.0,13.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,7.0,8.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,6.0,6.0,2.5,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,3.0,7.5,12.0,2.0,0.0,0.0,0.0,2.0,2.0,8.0,7.0,9.0,8.0,8.5,7.0,2.0,0.0,1.0,1.0,2.0,3.5,7.0,5.5,6.0,8.0,12.0,6.0,2.0,0.0,1.0,2.0,1.0,1.5,5.0,6.0,4.0,9.0,7.5,6.0,0.0,0.0,1.0,1.0,1.0,2.5,4.0,5.5,6.0,10.0,8.0,10.0,1.5,0.0
13.93046784,100.3944724,0.0,0.0,1.0,4.0,6.0,6.0,6.0,9.0,11.5,5.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,4.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,7.5,5.0,5.0,14.5,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.5,4.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,5.0,5.5,5.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,8.0,4.0,7.0,11.0,0.5,0.0,1.0,0.0,2.0,3.0,8.0,6.0,9.0,8.0,9.0,8.0,1.5,0.0,0.0,1.0,3.0,2.5,6.0,5.0,6.0,8.0,10.5,7.0,2.5,0.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,10.0,6.5,4.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,5.5,6.0,10.0,8.5,12.0,1.0,0.0
