latitude,longitude,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
13.57005719,100.652727,2.0,3.0,51.0,53.0,53.0,55.0,53.0,53.0,55.0,55.0,2.0,2.0,51.0,2.0,51.0,51.0,53.0,52.0,53.0,53.0,61.0,51.0,51.0,2.0,2.0,2.0,2.0,51.0,53.0,55.0,53.0,53.0,61.0,51.0,51.0,1.0,1.0,27.0,2.0,51.0,53.0,53.0,53.0,53.0,55.0,61.0,27.0,2.0,2.0,2.0,51.0,2.0,51.0,51.0,53.0,53.0,55.0,53.0,51.0,3.0,51.0,2.0,2.0,1.0,53.0,55.0,53.0,53.0,53.0,61.0,51.0,2.0,3.0,2.0,51.0,53.0,61.0,53.0,61.0,61.0,61.0,61.0,51.0,3.0,51.0,27.0,53.0,53.0,53.0,53.0,55.0,55.0,61.0,61.0,51.0,3.0,51.0,51.0,51.0,51.0,53.0,58.0,53.0,61.0,61.0,53.0,2.5,1.0,51.0,51.0,1.0,51.0,51.0,61.0,55.0,61.0,61.0,61.0,27.0,3.0
13.58447894,100.8644025,2.0,3.0,51.0,53.0,53.0,55.0,53.0,53.0,55.0,55.0,2.0,2.0,51.0,2.0,51.0,51.0,53.0,52.0,53.0,53.0,61.0,51.0,51.0,2.0,2.0,2.0,2.0,51.0,53.0,55.0,53.0,53.0,61.0,51.0,51.0,1.0,1.0,27.0,2.0,51.0,53.0,53.0,53.0,53.0,55.0,61.0,27.0,2.0,2.0,2.0,51.0,2.0,51.0,51.0,53.0,53.0,55.0,53.0,51.0,3.0,51.0,2.0,2.0,1.0,53.0,55.0,53.0,53.0,53.0,61.0,51.0,2.0,3.0,2.0,53.0,55.0,63.0,55.0,61.0,63.0,63.0,61.0,51.0,3.0,51.0,27.0,53.0,55.0,55.0,53.0,61.0,55.0,61.0,55.0,51.0,3.0,3.0,51.0,51.0,51.0,61.0,61.0,61.0,61.0,61.0,55.0,2.0,1.0,51.0,2.0,3.0,51.0,51.0,61.0,61.0,61.0,62.0,61.0,51.0,3.0
13.62832532,100.7269535,2.0,27.0,51.0,53.0,53.0,61.0,61.0,53.0,61.0,55.0,2.0,2.0,51.0,51.0,51.0,53.0,55.0,53.0,53.0,53.0,63.0,51.0,53.0,3.0,2.0,3.0,3.0,51.0,53.0,55.0,55.0,53.0,61.0,51.0,51.0,1.0,1.0,51.0,51.0,52.0,55.0,58.0,61.0,55.0,55.0,61.0,3.0,2.0,2.0,2.0,51.0,27.0,53.0,53.0,53.0,55.0,61.0,51.0,51.0,3.0,51.0,2.0,3.0,2.0,53.0,61.0,55.0,55.0,58.0,61.0,51.0,2.0,3.0,3.0,61.0,53.0,63.0,58.0,61.0,61.0,61.0,61.0,51.0,3.0,51.0,51.0,53.0,55.0,63.0,61.0,63.0,61.0,62.0,61.0,51.0,3.0,51.0,51.0,51.0,51.0,53.0,55.0,55.0,61.0,63.0,55.0,3.0,1.0,51.0,51.0,2.0,52.0,51.0,61.0,61.0,61.0,61.0,61.0,51.0,2.5
13.65707717,100.5536002,2.0,3.0,51.0,53.0,53.0,58.0,61.0,53.0,61.0,55.0,2.0,2.0,51.0,3.0,51.0,51.0,55.0,53.0,55.0,53.0,63.0,51.0,51.0,2.0,2.0,2.0,2.0,51.0,53.0,61.0,53.0,53.0,61.0,51.0,51.0,1.0,1.0,2.0,1.0,51.0,53.0,55.0,61.0,55.0,58.0,61.0,27.0,2.0,2.0,1.5,51.0,2.0,53.0,53.0,53.0,53.0,55.0,53.0,51.0,3.0,51.0,2.0,2.0,1.5,51.0,55.0,53.0,55.0,61.0,61.0,51.0,2.0,3.0,1.0,53.0,51.0,63.0,61.0,61.0,61.0,61.0,63.0,51.0,3.0,51.0,51.0,53.0,53.0,61.0,61.0,61.0,61.0,63.0,55.0,51.0,3.0,51.0,51.0,51.0,51.0,55.0,61.0,55.0,61.0,63.0,55.0,3.0,2.0,51.0,2.0,51.0,51.0,51.0,61.0,61.0,61.0,61.0,63.0,51.0,2.0
13.55723677,100.5149659,2.0,27.0,51.0,53.0,53.0,61.0,61.0,53.0,61.0,55.0,2.0,2.0,51.0,51.0,51.0,53.0,55.0,53.0,53.0,53.0,63.0,51.0,53.0,3.0,2.0,3.0,3.0,51.0,53.0,55.0,55.0,53.0,61.0,51.0,51.0,1.0,1.0,51.0,51.0,52.0,55.0,58.0,61.0,55.0,55.0,61.0,3.0,2.0,2.0,2.0,51.0,27.0,53.0,53.0,53.0,55.0,61.0,51.0,51.0,3.0,51.0,2.0,3.0,2.0,53.0,61.0,55.0,55.0,58.0,61.0,51.0,2.0,51.0,1.0,51.0,51.0,61.0,53.0,61.0,55.0,53.0,63.0,51.0,3.0,51.0,27.0,51.0,51.0,51.0,51.0,53.0,53.0,61.0,55.0,51.0,51.0,3.0,51.0,3.0,51.0,53.0,53.0,53.0,61.0,61.0,53.0,3.0,3.0,51.0,2.0,2.0,51.0,51.0,58.0,53.0,55.0,55.0,61.0,51.0,2.0
13.63652409,100.8095519,2.0,27.0,51.0,53.0,53.0,61.0,61.0,53.0,61.0,55.0,2.0,2.0,51.0,51.0,51.0,53.0,55.0,53.0,53.0,53.0,63.0,51.0,53.0,3.0,2.0,3.0,3.0,51.0,53.0,55.0,55.0,53.0,61.0,51.0,51.0,1.0,1.0,51.0,51.0,52.0,55.0,58.0,61.0,55.0,55.0,61.0,3.0,2.0,2.0,2.0,51.0,27.0,53.0,53.0,53.0,55.0,61.0,51.0,51.0,3.0,51.0,2.0,3.0,2.0,53.0,61.0,55.0,55.0,58.0,61.0,51.0,2.0,3.0,2.0,53.0,54.0,63.0,61.0,61.0,61.0,62.0,63.0,51.0,3.0,51.0,51.0,53.0,61.0,61.0,58.0,61.0,61.0,63.0,61.0,51.0,51.0,3.0,51.0,51.0,51.0,61.0,61.0,61.0,61.0,61.0,55.0,2.0,1.0,51.0,51.0,51.0,51.0,53.0,61.0,61.0,61.0,63.0,61.0,51.0,3.0
13.85731527,100.4911353,2.0,3.0,51.0,53.0,53.0,58.0,61.0,53.0,61.0,55.0,2.0,2.0,51.0,3.0,51.0,51.0,55.0,53.0,55.0,53.0,63.0,51.0,51.0,2.0,2.0,2.0,2.0,51.0,53.0,61.0,53.0,53.0,61.0,51.0,51.0,1.0,1.0,2.0,1.0,51.0,53.0,55.0,61.0,55.0,58.0,61.0,27.0,2.0,2.0,1.5,51.0,2.0,53.0,53.0,53.0,53.0,55.0,53.0,51.0,3.0,51.0,2.0,2.0,1.5,51.0,55.0,53.0,55.0,61.0,61.0,51.0,2.0,3.0,1.0,51.0,53.0,63.0,61.0,61.0,63.0,63.0,61.0,51.0,3.0,51.0,51.0,53.0,53.0,63.0,61.0,61.0,61.0,63.0,55.0,51.0,3.0,51.0,51.0,51.0,51.0,61.0,61.0,61.0,61.0,61.0,55.0,2.5,1.0,3.0,3.0,51.0,51.0,53.0,61.0,61.0,61.0,63.0,61.0,51.0,3.0
13.81312635,100.4222538,2.0,3.0,51.0,53.0,53.0,58.0,61.0,53.0,61.0,55.0,2.0,2.0,51.0,3.0,51.0,51.0,55.0,53.0,55.0,53.0,63.0,51.0,51.0,2.0,2.0,2.0,2.0,51.0,53.0,61.0,53.0,53.0,61.0,51.0,51.0,1.0,1.0,2.0,1.0,51.0,53.0,55.0,61.0,55.0,58.0,61.0,27.0,2.0,2.0,1.5,51.0,2.0,53.0,53.0,53.0,53.0,55.0,53.0,51.0,3.0,51.0,2.0,2.0,1.5,51.0,55.0,53.0,55.0,61.0,61.0,51.0,2.0,3.0,1.0,51.0,51.0,63.0,61.0,61.0,63.0,62.0,63.0,52.0,3.0,51.0,51.0,53.0,52.0,63.0,61.0,61.0,55.0,63.0,61.0,51.0,3.0,51.0,51.0,51.0,51.0,61.0,61.0,55.0,61.0,61.0,53.0,27.0,1.0,51.0,3.0,51.0,51.0,51.0,61.0,61.0,61.0,62.0,61.0,51.0,3.0
13.85607107,100.3699979,2.0,3.0,51.0,55.0,55.0,55.0,61.0,55.0,61.0,53.0,2.0,2.0,51.0,2.0,51.0,51.0,61.0,53.0,55.0,55.0,62.0,51.0,51.0,3.0,2.0,2.0,3.0,51.0,53.0,61.0,53.0,53.0,61.0,53.0,51.0,1.0,1.0,2.0,2.0,51.0,61.0,61.0,53.0,61.0,58.0,61.0,51.0,3.0,2.0,1.0,51.0,51.0,61.0,53.0,53.0,55.0,55.0,53.0,52.0,3.0,3.0,2.0,1.0,1.0,51.0,58.0,53.0,53.0,61.0,61.0,51.0,3.0,3.0,1.0,51.0,51.0,63.0,61.0,61.0,63.0,62.0,63.0,51.0,3.0,51.0,51.0,53.0,53.0,63.0,58.0,55.0,55.0,61.0,61.0,51.0,3.0,51.0,51.0,51.0,51.0,61.0,61.0,55.0,61.0,61.0,53.0,2.0,2.0,51.0,51.0,51.0,51.0,53.0,61.0,61.0,61.0,63.0,61.0,51.0,2.5
13.93046784,100.3944724,2.0,3.0,51.0,53.0,55.0,61.0,61.0,55.0,62.0,61.0,2.0,2.0,51.0,51.0,53.0,53.0,61.0,55.0,55.0,55.0,61.0,51.0,51.0,2.0,2.0,2.0,2.0,51.0,55.0,61.0,53.0,55.0,61.0,51.0,51.0,1.0,1.0,3.0,3.0,53.0,55.0,58.0,55.0,61.0,58.0,61.0,3.0,3.0,2.0,2.0,51.0,3.0,61.0,54.0,53.0,53.0,58.0,53.0,51.0,3.0,51.0,2.0,2.0,2.5,53.0,61.0,55.0,55.0,61.0,61.0,27.0,2.0,51.0,1.0,51.0,53.0,63.0,63.0,61.0,63.0,63.0,63.0,51.0,3.0,3.0,51.0,51.0,53.0,63.0,53.0,61.0,55.0,63.0,61.0,51.0,3.0,51.0,51.0,51.0,51.0,61.0,61.0,55.0,61.0,61.0,53.0,2.0,2.0,3.0,51.0,51.0,51.0,53.0,61.0,61.0,55.0,63.0,61.0,51.0,2.0
