name,id,geocode,country,province,district,subdistrict,postcode,aoi,lon,lat,elevation,road,road_lon,road_lat,road_char,house_num,water,moo,moo_name
HomePro Rama 2,A00132222,102107,ประเทศไทย,กรุงเทพมหานคร,เขตบางขุนเทียน,แขวงแสมดำ,10150,โฮมโปร พระราม 2,100.44237,13.663398,3,ถนนท่าข้าม,100.441963,13.663167,5.0,,,,
HomePro Sukhapiban 3,A00132273,100608,ประเทศไทย,กรุงเทพมหานคร,เขตบางกะปิ,แขวงหัวหมาก,10240,โฮมโปร รามคำแหง,100.66045,13.769497,7,,,,,,,,
Home Pro (Hua Hin),A00132649,770701,ประเทศไทย,จ.ประจวบคีรีขันธ์,อ.หัวหิน,ต.หัวหิน,77110,,99.96075,12.558405,7,ถนนเพชรเกษม,99.960808,12.558399,2.0,,,,
Home Pro Lopburi,A00253970,160115,ประเทศไทย,จ.ลพบุรี,อ.เมืองลพบุรี,ต.ท่าศาลา,15000,,100.683266,14.784131,27,ถนนพหลโยธิน,100.683212,14.784056,2.0,,,,
Home Pro,A00291640,103202,ประเทศไทย,กรุงเทพมหานคร,เขตประเวศ,แขวงหนองบอน,10250,,100.64843,13.687688,22,หมู่บ้านเสรีวิลล่า แยก 2,100.648521,13.687681,6.0,,,,
Home Pro,A00303318,103202,ประเทศไทย,กรุงเทพมหานคร,เขตประเวศ,แขวงหนองบอน,10250,,100.64845,13.68805,19,หมู่บ้านเสรีวิลล่า แยก 2,100.648544,13.688044,6.0,,,,
Home Pro (Lad Phrao),A10000670,103004,ประเทศไทย,กรุงเทพมหานคร,เขตจตุจักร,แขวงจอมพล,10900,ห้างบิ๊กซี เอ็กซ์ตร้า ลาดพร้าว,100.56828,13.809622,8,,,,,,,,
Home Pro Changwattana Branch,A10000784,120602,ประเทศไทย,จ.นนทบุรี,อ.ปากเกร็ด,ต.บางตลาด,11120,ห้างบิ๊กซี เอ็กซ์ตร้า แจ้งวัฒนะ,100.51593,13.905302,2,,,,,,,,
HOMEPRO VILLAGE SUVARNABHUMI,A10001122,110308,ประเทศไทย,จ.สมุทรปราการ,อ.บางพลี,ต.ราชาเทวะ,10540,เทสโก้ โลตัส กิ่งแก้ว,100.71122,13.633058,6,,,,,,,,
Home Pro,A10006145,200115,ประเทศไทย,จ.ชลบุรี,อ.เมืองชลบุรี,ต.ห้วยกะปิ,20000,บิ๊กซี ชลบุรี,100.95906,13.316073,7,ทางคู่ขนาน ทล. 3,100.958786,13.316256,2.0,,,,
Homepro Rachapreuk,A10011104,120205,ประเทศไทย,จ.นนทบุรี,อ.บางกรวย,ต.บางขุนกอง,11130,โฮมโปรราชพฤกษ์,100.44765,13.819934,6,,,,,,,,
HomePro,A10012638,110308,ประเทศไทย,จ.สมุทรปราการ,อ.บางพลี,ต.ราชาเทวะ,10540,รถไฟฟ้ามหานครสายสีฟ้าอ่อน,100.71007,13.634327,7,ทางพิเศษบูรพาวิถี,100.710091,13.634369,1.0,,,,
Home Pro Ratchadapisek,A10014606,102601,ประเทศไทย,กรุงเทพมหานคร,เขตดินแดง,แขวงดินแดง,10400,ห้างบิ๊กซี เอ็กซ์ตร้า รัชดาภิเษก,100.57183,13.76899,3,,,,,,,,
HomePro Pleonjit,A10016248,100704,ประเทศไทย,กรุงเทพมหานคร,เขตปทุมวัน,แขวงลุมพินี,10330,อาคารเวฟ เพลส,100.547966,13.744003,20,ถนนวิทยุ,100.547676,13.744053,5.0,55,,,
HomePro Nakhon Si Thammarat,A10016411,800101,ประเทศไทย,จ.นครศรีธรรมราช,อ.เมืองนครศรีธรรมราช,ต.ในเมือง,80000,โฮมโปรนครศรีธรรมราช,99.97957,8.385562,2,,,,,,,,
Homepro Pisanulok,A10027695,650101,ประเทศไทย,จ.พิษณุโลก,อ.เมืองพิษณุโลก,ต.ในเมือง,65000,,100.29791,16.819094,44,,,,,,,,
HomePro ,A10027859,210109,ประเทศไทย,จ.ระยอง,อ.เมืองระยอง,ต.เนินพระ,21000,บิ๊กซี แหลมทอง,101.248474,12.684377,18,,,,,,,,
HomePro Paechgaseam,A10027944,102303,ประเทศไทย,กรุงเทพมหานคร,เขตหนองแขม,แขวงหนองค้างพลู,10160,โฮมโปร เพชรเกษม,100.36536,13.7088785,6,ถนนพุทธมณฑลสาย 3,100.364197,13.708868,5.0,,,,
Homepro Nakornphatom,A10027968,730122,ประเทศไทย,จ.นครปฐม,อ.เมืองนครปฐม,ต.ห้วยจรเข้,73000,โฮมโปร นครปฐม,100.074265,13.812421,3,,,,,,,,
HomePro Nakhon Ratchasima (The Mall),A10027972,300101,ประเทศไทย,จ.นครราชสีมา,อ.เมืองนครราชสีมา,ต.ในเมือง,30000,เดอะมอลล์ โคราช,102.07618,14.979871,199,ถนนมิตรภาพ,102.076195,14.979349,2.0,,,,
