pname,n_occurance_2018,n_occurance_2019,n_occurance_2020,n_occurance_2021,n_occurance_2022,n_occurance_2023,n_occurance_2024,pid
กระบี่,2,0,1,0,0,1,0,81
กรุงเทพมหานคร,0,0,0,2,0,0,0,10
กาญจนบุรี,0,0,6,0,0,3,1,71
กาฬสินธุ์,0,0,0,0,0,2,0,46
กำแพงเพชร,0,2,0,3,2,0,0,62
ขอนแก่น,0,0,1,0,0,3,0,40
จันทบุรี,0,3,2,2,2,3,2,22
ฉะเชิงเทรา,0,0,0,0,0,0,0,24
ชลบุรี,0,0,1,0,4,0,1,20
ชัยนาท,0,0,0,0,0,0,0,18
ชัยภูมิ,0,0,1,0,0,2,2,36
ชุมพร,0,1,7,3,0,1,1,86
เชียงราย,0,1,1,0,5,1,1,57
เชียงใหม่,0,0,1,3,2,3,2,50
ตรัง,1,0,1,1,1,1,1,92
ตราด,0,2,0,0,2,1,2,23
ตาก,0,0,0,2,1,4,3,63
นครนายก,0,1,0,0,0,0,0,26
นครปฐม,0,0,0,1,2,1,0,73
นครพนม,0,0,0,0,0,2,0,48
นครราชสีมา,0,0,3,1,1,0,0,30
นครศรีธรรมราช,1,0,1,2,3,6,0,80
นครสวรรค์,0,0,0,0,0,0,0,60
นนทบุรี,0,0,0,0,2,1,0,12
นราธิวาส,0,0,0,1,1,0,0,96
น่าน,0,4,5,0,2,0,0,55
บึงกาฬ,0,0,0,0,1,1,0,38
บุรีรัมย์,0,0,0,0,2,0,0,31
ปทุมธานี,0,0,1,3,0,0,0,13
ประจวบคีรีขันธ์,3,0,0,0,0,0,0,77
ปราจีนบุรี,0,0,6,4,1,4,7,25
ปัตตานี,0,0,0,0,0,0,0,94
พระนครศรีอยุธยา,1,0,0,0,1,0,0,14
พะเยา,1,0,0,0,0,2,6,56
พังงา,1,0,3,0,3,2,0,82
พัทลุง,0,0,2,2,2,0,0,93
พิจิตร,0,1,0,0,0,0,0,66
พิษณุโลก,0,0,0,0,4,1,0,65
เพชรบุรี,0,0,0,0,0,0,0,76
เพชรบูรณ์,0,0,0,0,2,3,3,67
แพร่,0,1,2,0,2,0,0,54
ภูเก็ต,0,0,0,0,1,0,4,83
มหาสารคาม,0,0,0,1,0,2,0,44
มุกดาหาร,0,0,0,0,2,1,0,49
แม่ฮ่องสอน,0,1,0,2,3,6,4,58
ยโสธร,0,0,0,1,1,0,0,35
ยะลา,0,1,2,4,1,6,1,95
ร้อยเอ็ด,0,0,0,0,1,0,0,45
ระนอง,0,1,1,0,0,1,0,85
ระยอง,0,0,1,0,0,2,1,21
ราชบุรี,0,0,1,0,0,0,0,70
ลพบุรี,0,0,0,2,1,0,0,16
ลำปาง,2,0,2,2,3,5,12,52
ลำพูน,2,0,2,0,0,1,0,51
เลย,0,2,2,4,0,0,6,42
ศรีสะเกษ,0,0,3,2,0,0,0,33
สกลนคร,0,0,0,0,0,1,0,47
สงขลา,0,0,1,2,3,1,0,90
สตูล,0,0,1,0,0,2,0,91
สมุทรปราการ,0,0,1,1,1,2,0,11
สมุทรสงคราม,0,0,1,0,0,0,0,75
สมุทรสาคร,0,0,2,2,0,1,0,74
สระแก้ว,0,0,3,1,2,0,0,27
สระบุรี,0,0,1,4,0,0,0,19
สิงห์บุรี,0,0,1,0,0,0,0,17
สุโขทัย,0,0,0,0,1,1,3,64
สุพรรณบุรี,0,0,0,3,0,0,0,72
สุราษฎร์ธานี,5,2,5,6,1,1,0,84
สุรินทร์,0,0,0,0,0,0,0,32
หนองคาย,0,0,0,0,0,0,0,43
หนองบัวลำภู,0,0,1,0,0,0,0,39
อ่างทอง,0,0,0,4,0,0,0,15
อำนาจเจริญ,0,0,0,0,1,0,0,37
อุดรธานี,0,0,2,0,1,0,0,41
อุตรดิตถ์,1,0,4,0,3,1,0,53
อุทัยธานี,0,0,0,0,0,0,0,61
อุบลราชธานี,0,0,0,1,1,1,1,34
