pname,n_occurance_2018,n_occurance_2019,n_occurance_2020,n_occurance_2021,n_occurance_2022,n_occurance_2023,n_occurance_2024,pid
กระบี่,0,4,0,0,0,0,3,81
กรุงเทพมหานคร,0,0,0,0,0,0,0,10
กาญจนบุรี,0,0,0,0,0,0,0,71
กาฬสินธุ์,0,3,1,0,0,0,1,46
กำแพงแพชร,0,0,0,0,0,0,0,62
ขอนแก่น,0,3,2,0,0,0,2,40
จันทบุรี,0,3,0,0,0,1,0,22
ชลบุรี,0,2,7,1,0,1,0,24
ชัยนาท,0,2,0,0,0,0,0,20
ชัยภูมิ,0,2,1,0,0,1,0,18
ชุมพร,0,2,4,0,0,2,0,36
เชียงราย,0,2,1,0,0,0,0,86
เชียงใหม่,0,2,2,0,2,1,0,57
ตรัง,0,0,0,0,0,0,0,50
ตราด,0,1,0,0,0,0,0,92
ตาก,0,1,1,0,0,0,0,23
นครนายก,0,1,0,0,0,6,8,63
นครปฐม,0,1,1,0,0,0,0,26
นครพนม,0,0,0,0,0,0,0,73
นครราชสีมา,0,0,0,0,0,0,0,48
นครศรีธรรมราช,0,1,0,0,0,0,1,30
นครสวรรค์,0,1,0,0,0,0,1,80
นนทบุรี,0,0,0,0,0,0,0,60
นราธิวาส,0,1,0,0,0,0,0,12
น่าน,0,0,0,0,0,0,0,96
บึงกาฬ,0,0,0,0,0,0,0,55
บุรีรัมย์,0,0,0,0,0,0,0,38
ปทุมธานี,0,0,0,0,0,0,0,31
ประจวบคีรีขันธ์,0,0,6,0,2,2,0,13
ปราจีนบุรี,0,0,3,1,0,0,0,77
ปัตตานี,0,0,0,0,0,0,0,25
พระนครศรีอยุธยา,0,0,0,0,0,0,0,94
พะเยา,0,0,3,0,1,4,1,14
พังงา,0,0,2,0,0,1,0,56
พัทลุง,0,0,1,0,0,0,0,82
พิจิตร,0,0,0,0,0,0,0,93
พิษณุโลก,0,0,0,0,0,0,0,66
เพชรบุรี,0,0,0,0,0,0,0,65
เพชรบูรณ์,0,0,1,0,0,0,2,76
แพร่,0,0,1,0,0,0,0,67
ภูเก็ต,0,0,1,0,0,0,0,54
มหาสารคาม,0,0,0,0,0,0,0,83
มุกดาหาร,0,0,0,0,0,0,0,44
แม่ฮ่องสอน,0,0,1,1,0,0,0,49
ยโสธร,0,0,0,0,0,0,0,58
ยะลา,0,0,0,0,0,0,0,35
ร้อยเอ็ด,0,0,0,0,0,0,0,95
ระนอง,0,0,1,0,0,1,0,45
ระยอง,0,0,1,0,0,0,0,85
ราชบุรี,0,0,0,6,1,0,0,21
ลพบุรี,0,0,0,1,0,2,0,70
ลำปาง,0,0,0,0,0,0,0,16
ลำพูน,0,0,0,0,0,0,0,52
เลย,0,0,0,0,3,5,0,51
ศรีสะเกษ,0,0,0,0,0,0,0,42
สกลนคร,0,0,0,0,0,0,0,33
สงขลา,0,0,0,0,1,0,0,47
สตูล,0,0,0,0,1,0,0,90
สมุทรปราการ,0,0,0,0,1,0,0,91
สมุทรสงคราม,0,0,0,0,0,0,0,11
สมุทรสาคร,0,0,0,0,0,0,0,75
สระแก้ว,0,0,0,0,0,0,0,74
สระบุรี,0,0,0,0,0,3,1,27
สิงห์บุรี,0,0,0,0,0,1,1,19
สุโขทัย,0,0,0,0,0,0,0,17
สุพรรณบุรี,0,0,0,0,0,0,0,64
สุราษฎร์ธานี,0,0,0,0,0,1,0,72
สุรินทร์,0,0,0,0,0,0,0,84
หนองคาย,0,0,0,0,0,0,0,32
หนองบัวลำภู,0,0,0,0,0,0,0,43
อ่างทอง,0,0,0,0,0,0,0,39
อำนาจเจริญ,0,0,0,0,0,0,0,15
อุดรธานี,0,0,0,0,0,0,0,37
อุตรดิตถ์,0,0,0,0,0,1,1,41
อุทัยธานี,0,0,0,0,0,0,0,53
อุบลราชธานี,0,0,0,0,0,0,1,61
,,,,,,,,34
