pname,n_occurance_2018,n_occurance_2019,n_occurance_2020,n_occurance_2021,n_occurance_2022,n_occurance_2023,n_occurance_2024,pid
กระบี่,0,1,0,0,2,3,4,81
กรุงเทพมหานคร,0,0,1,0,1,0,0,10
กาญจนบุรี,1,0,1,0,0,0,2,71
กาฬสินธุ์,0,1,2,2,2,1,2,46
กำแพงเพชร,0,6,1,3,1,8,4,62
ขอนแก่น,0,12,12,3,3,8,1,40
จันทบุรี,0,0,1,0,2,0,0,22
ฉะเชิงเทรา,0,0,1,1,0,2,0,24
ชลบุรี,0,0,3,3,3,1,1,20
ชัยนาท,1,0,0,2,5,3,1,18
ชัยภูมิ,0,0,0,0,9,9,4,36
ชุมพร,0,2,0,0,0,0,1,86
เชียงราย,0,2,1,2,0,14,15,57
เชียงใหม่,0,1,7,10,1,8,9,50
ตรัง,0,0,0,1,6,4,4,92
ตราด,1,2,0,0,1,1,1,23
ตาก,0,2,1,2,6,6,5,63
นครนายก,0,0,0,1,1,2,0,26
นครปฐม,0,0,1,0,3,2,0,73
นครพนม,0,6,4,1,1,4,2,48
นครราชสีมา,0,3,5,2,2,1,1,30
นครศรีธรรมราช,0,0,2,3,14,14,4,80
นครสวรรค์,0,4,0,3,0,0,4,60
นนทบุรี,0,0,0,0,0,0,1,12
นราธิวาส,0,1,0,1,6,1,2,96
น่าน,0,4,14,4,6,5,0,55
บึงกาฬ,0,0,1,1,1,0,3,38
บุรีรัมย์,0,3,0,0,1,1,1,31
ปทุมธานี,0,2,0,0,0,2,2,13
ประจวบคีรีขันธ์,3,0,0,0,0,1,0,77
ปราจีนบุรี,0,1,1,1,1,11,2,25
ปัตตานี,0,0,0,0,5,0,0,94
พระนครศรีอยุธยา,0,0,0,1,1,2,2,14
พะเยา,0,1,0,0,2,4,5,56
พังงา,0,1,6,1,2,2,1,82
พัทลุง,0,0,1,2,2,2,1,93
พิจิตร,0,4,7,1,0,2,2,66
พิษณุโลก,0,8,2,3,0,0,4,65
เพชรบุรี,0,0,1,0,0,2,0,76
เพชรบูรณ์,0,4,0,1,1,20,17,67
แพร่,0,7,1,2,1,4,5,54
ภูเก็ต,0,0,4,0,2,1,3,83
มหาสารคาม,0,1,0,0,1,4,5,44
มุกดาหาร,0,0,0,1,2,2,0,49
แม่ฮ่องสอน,0,2,1,1,2,3,4,58
ยโสธร,0,0,1,2,6,11,2,35
ยะลา,0,0,0,1,2,1,0,95
ร้อยเอ็ด,0,4,5,6,1,3,1,45
ระนอง,1,1,0,0,1,1,0,85
ระยอง,1,0,0,1,1,6,0,21
ราชบุรี,0,0,0,1,2,3,1,70
ลพบุรี,1,6,3,4,0,3,2,16
ลำปาง,0,4,14,4,7,15,12,52
ลำพูน,0,0,7,4,0,2,2,51
เลย,0,4,8,0,0,2,10,42
ศรีสะเกษ,0,3,3,1,2,0,0,33
สกลนคร,0,0,1,2,0,13,5,47
สงขลา,2,0,1,1,1,3,2,90
สตูล,0,0,0,1,0,0,1,91
สมุทรปราการ,0,0,1,2,2,2,1,11
สมุทรสงคราม,0,1,0,0,0,1,0,75
สมุทรสาคร,0,0,1,2,1,2,1,74
สระแก้ว,0,2,1,0,0,2,0,27
สระบุรี,1,1,3,4,0,1,0,19
สิงห์บุรี,0,0,3,3,3,1,0,17
สุโขทัย,0,2,2,1,3,4,2,64
สุพรรณบุรี,0,1,0,1,0,1,0,72
สุราษฎร์ธานี,0,4,4,1,2,6,0,84
สุรินทร์,0,2,0,1,2,0,0,32
หนองคาย,0,4,1,1,0,2,1,43
หนองบัวลำภู,0,6,6,6,0,7,10,39
อ่างทอง,0,0,0,4,3,1,0,15
อำนาจเจริญ,0,4,4,3,10,12,10,37
อุดรธานี,0,5,4,5,1,2,0,41
อุตรดิตถ์,1,2,4,1,2,9,2,53
อุทัยธานี,0,3,2,2,1,4,1,61
อุบลราชธานี,0,4,5,0,0,0,4,34
