finance_feature,r2,rmse,fi_wind,fi_flood,fi_pm
Cash and cash equivalents,0.8301760344212562,31.893006871385538,0.10266307043723752,0.3452304644251531,0.5521064651376094
Inventories,0.8149873207581922,17.60779578658683,0.15579861863259628,0.5159329368019913,0.32826844456541254
Trade and other receivables,0.8012465137365499,12.088424202350621,0.14061672135195774,0.4522463417195942,0.40713693692844805
Total assets,0.8419710005720102,79.70477156328477,0.14428640804637227,0.353458199119635,0.5022553928339927
Total current liabilities,0.9082800649262744,33.64076749564686,0.17295529886484143,0.4649361972840561,0.3621085038511024
Total debts,0.8067270337923125,65.6569255109358,0.23972929189239595,0.33074293103956526,0.4295277770680388
Cost of Revenue,0.7179616454508291,63.443799019123716,0.3419411933822342,0.2789214704543093,0.3791373361634565
Revenue,0.7050545556114981,73.00130910774362,0.3705784020659535,0.35924903754299825,0.27017256039104837
Total cost,0.6680079818781628,72.59280509275297,0.29376929255683537,0.3475477550302236,0.35868295241294107
Profit,0.7622166251861776,15.103360480321783,0.4877615862613018,0.27298131653105406,0.23925709720764415
Cash flow from operating activities,0.8296005833966824,20.169526380737086,0.6162491387841275,0.20787738427458236,0.1758734769412903
Cash Flow from investing activities,0.8305405745491904,55.58666038159885,0.22998504566274888,0.5575853685467841,0.21242958579046717
Cash Flow from Financing Activities,0.7727290813276668,53.497490407258105,0.265587630917161,0.2237887596729075,0.5106236094099316
