finance_feature,r2,rmse,coef_wind,coef_flood,coef_pm,bias
Cash and cash equivalents,0.9743399168231491,19.88429679823783,-72.27230008970055,77.95030639300701,0.038964882705184785,1063.4029472953755
Inventories,0.6500027393785599,20.65003446710831,-6.099056695895508,10.9402963358696,-18.340171663696548,648.095005109494
Trade and other receivables,0.8368983399258136,11.505502688503222,-3.895775406622796,6.445895711266872,-8.068785581315652,206.74691307845657
Total assets,0.8759254582777956,75.02755498149851,-396.36952066681073,476.5907849980913,23.238697085967047,8962.488268200446
Total current liabilities,0.9999999440455385,0.9401748747574333,-59.01645577508321,101.46330363134621,-36.3297849023281,474.05596945728166
Total debts,0.8464399551395884,61.9879568343522,-254.3319130091252,297.34481709820864,153.6908600438948,3360.132591249261
Cost of Revenue,0.8183788295796434,56.83341532092839,262.14965263552847,-186.0840087056452,-192.21878221134767,1274.1372252237206
Revenue,0.8483404393153333,61.81767593100581,343.15726089470263,-246.16301709369438,-259.66135287676576,1954.7200636664038
Total cost,0.8311154956948976,61.306866448544056,311.19555840298364,-219.64558496239746,-257.56183664043397,2358.570063637422
Profit,0.8167311769628183,14.151431193831634,14.441275740406779,-12.419865003758032,-14.121446607905982,-7.9927730888139195
Cash flow from operating activities,0.9997271861245063,4.034551728966472,37.24962226451926,-18.175113544775392,-22.06490929872085,-513.5584654400241
Cash Flow from investing activities,0.7091937058755247,63.62167528176104,3.158784206384658,69.1489733982567,-243.65412785853556,1645.912924500286
Cash Flow from Financing Activities,0.8976249633961804,43.8274255005041,-90.80471006535923,51.59658910813421,292.7109103012621,-3029.279888271071
