finance_feature,r2,rmse,fi_wind,fi_flood,fi_pm
Cash and cash equivalents,0.8782455074721611,7.768664216429466,0.42355831952261985,0.3285975310227083,0.2478441494546719
Inventories,0.930721683208862,4.680334765483036,0.13405480858202756,0.4851331015911528,0.38081208982681974
Trade and other receivables,0.6576250410072435,3.3838499732545064,0.4947680982945263,0.23321590956092206,0.27201599214455163
Total assets,0.8784421229927093,10.40013823312514,0.36702239348349025,0.4241419613170721,0.20883564519943762
Total current liabilities,0.7531388649918864,10.126585460614423,0.20974000954963368,0.41642994410154627,0.37383004634882
Total debts,0.7986230443890678,11.885896166153497,0.41624948310834575,0.35549296899144756,0.22825754790020678
Cost of Revenue,0.8006509661062355,9.876957688793892,0.2691970824233362,0.17577157617200834,0.5550313414046555
Revenue,0.8613622936578448,11.857330958163008,0.2775697254686119,0.11646206925591839,0.6059682052754698
Total cost,0.8199904554972322,11.244071569163797,0.23791182403811914,0.1434920089548363,0.6185961670070447
Profit,0.7307667584090063,5.699741408350411,0.2852093891421066,0.19360764656794216,0.5211829642899514
Cash flow from operating activities,0.6619898469730668,7.552912005804841,0.26543788908640586,0.4382372953105471,0.2963248156030471
Cash Flow from investing activities,0.7535716173566239,9.40301299083369,0.259475076203749,0.3539180036283019,0.38660692016794923
Cash Flow from Financing Activities,0.8183728480568836,12.175847682977047,0.3140290059558108,0.34549632547604037,0.34047466856814884
