finance_feature,r2,rmse,coef_wind,coef_flood,coef_pm,bias
Cash and cash equivalents,0.9867156567442745,4.464883421589357,0.8854220167579885,3.9852261752797014,-0.2128081184590688,-462.1760581161709
Inventories,0.953156733424134,4.244136847784932,-0.724171277224992,1.3463949529628383,-2.644450432252498,179.986027478761
Trade and other receivables,0.36989623503062974,3.9412920762911634,0.11022629482716137,-0.06519732705121442,-0.6076981431454869,13.213381531645656
Total assets,0.6610729330451137,13.43909111586028,1.8240638304047367,5.4651018819902575,0.3663247389339706,-477.63367168402993
Total current liabilities,0.4351131338070916,12.454899317529298,-0.24752612070609792,0.8364807134452786,-6.474296538823697,216.13563031809986
Total debts,0.6593225103499827,13.555493991971685,1.6587885998144993,5.857207862684897,2.3071832274993493,-670.682190835993
Cost of Revenue,0.9857979909177705,5.102783070752392,1.163250619377102,-3.3309649279079436,-11.748798511272728,648.1255359928457
Revenue,0.9707463962580276,8.036398137555496,2.4795442782041004,-3.8891854310312883,-20.28917230778707,834.8572196884093
Total cost,0.9665771679958292,7.380920533289835,2.228556795446809,-2.6715545987315514,-15.770691586274863,577.5020604232287
Profit,0.9812420285936875,2.9283261781431333,0.10647361076774352,-0.9322669790915741,-3.3192837215511233,203.7976404900652
Cash flow from operating activities,0.2204647926138238,9.307668824695927,0.10122358009652235,-0.54940932803879,-2.5262551074385584,147.2672252614402
Cash Flow from investing activities,0.059835943450189055,13.14150986339681,-0.2554570871971252,0.8533314109186152,2.2484032185922387,-163.25509345991517
Cash Flow from Financing Activities,0.8732510398101442,11.128589287567214,0.697899835653453,8.342807307906787,8.978495911370887,-1177.6800467724183
